CustomerID,Churn,Tenure,PreferredLoginDevice,CityTier,WarehouseToHome,PreferredPaymentMode,Gender,HourSpendOnApp,NumberOfDeviceRegistered,PreferedOrderCat,SatisfactionScore,MaritalStatus,NumberOfAddress,Complain,OrderAmountHikeFromlastYear,CouponUsed,OrderCount,DaySinceLastOrder,CashbackAmount,ChurnStatus,TenureGroup,RiskScore
50034,0,13.0,Mobile Phone,Tier 3,10.0,E wallet,Male,3.0,4,Fashion,2,Divorced,8,No Complaint,11.0,2.0,2.0,11.0,208.55,Active,Loyal (12+ months),1
50035,0,9.0,Computer,Tier 3,8.0,E wallet,Female,3.0,3,Mobile,3,Divorced,7,No Complaint,18.0,1.0,1.0,2.0,122.31,Active,Mid (6-12 months),0
50036,0,0.0,Phone,Tier 1,14.0,CC,Male,3.0,3,Mobile,2,Divorced,2,No Complaint,24.0,0.0,2.0,2.0,123.23,Active,New (0-6 months),1
50037,0,9.0,Computer,Tier 1,15.0,CC,Male,2.0,3,Mobile,4,Married,7,No Complaint,18.0,0.0,2.0,2.0,120.24,Active,Mid (6-12 months),0
50038,0,1.0,Phone,Tier 1,27.0,CC,Male,3.0,3,Mobile,2,Divorced,2,No Complaint,11.0,0.0,1.0,2.0,127.13,Active,New (0-6 months),1
50039,0,30.0,Mobile Phone,Tier 1,30.0,Debit Card,Male,2.0,2,Fashion,2,Married,4,Complained,16.0,1.0,1.0,4.0,194.39,Active,Loyal (12+ months),3
50040,0,0.0,Computer,Tier 1,14.0,CC,Male,3.0,4,Mobile,3,Married,2,Complained,15.0,0.0,1.0,1.0,125.66,Active,New (0-6 months),2
50041,0,23.0,Mobile Phone,Tier 1,17.0,Debit Card,Female,2.0,3,Others,4,Single,4,No Complaint,15.0,2.0,4.0,4.0,299.26,Active,Loyal (12+ months),0
50042,0,14.0,Phone,Tier 1,14.0,Debit Card,Male,2.0,3,Mobile,3,Married,5,No Complaint,12.0,1.0,1.0,8.0,124.51,Active,Loyal (12+ months),0
50043,0,3.0,Mobile Phone,Tier 3,11.0,Debit Card,Female,2.0,3,Fashion,2,Divorced,3,No Complaint,12.0,2.0,7.0,4.0,194.19,Active,New (0-6 months),1
50044,0,11.0,Mobile Phone,Tier 3,6.0,Debit Card,Female,2.0,4,Laptop & Accessory,2,Single,5,No Complaint,22.0,1.0,1.0,1.0,186.86,Active,Mid (6-12 months),1
50045,0,5.0,Phone,Tier 1,12.0,Debit Card,Male,3.0,3,Mobile,3,Single,4,No Complaint,20.0,0.0,1.0,4.0,130.38,Active,New (0-6 months),0
50046,0,0.0,Phone,Tier 1,23.0,COD,Male,3.0,3,Mobile,4,Divorced,1,Complained,16.0,1.0,1.0,1.0,130.58,Active,New (0-6 months),2
50047,1,0.0,Computer,Tier 3,14.0,COD,Female,3.0,5,Mobile,5,Single,1,No Complaint,21.0,1.0,1.0,0.0,123.25,Churned,New (0-6 months),0
50048,0,9.0,Computer,Tier 1,9.0,CC,Male,1.0,3,Mobile,4,Single,5,No Complaint,12.0,4.0,7.0,2.0,120.88,Active,Mid (6-12 months),0
50049,0,3.0,Computer,Tier 1,15.0,CC,Male,3.0,3,Laptop & Accessory,5,Married,2,No Complaint,11.0,0.0,6.0,10.0,130.72,Active,New (0-6 months),0
50050,0,18.0,Mobile Phone,Tier 3,10.0,Debit Card,Female,1.0,3,Laptop & Accessory,5,Married,5,Complained,11.0,0.0,1.0,3.0,150.06,Active,Loyal (12+ months),2
50051,0,29.0,Phone,Tier 1,14.0,Debit Card,Female,3.0,3,Mobile Phone,5,Married,5,Complained,18.0,1.0,2.0,2.0,142.57,Active,Loyal (12+ months),2
50052,0,6.0,Phone,Tier 1,14.0,Debit Card,Male,2.0,3,Mobile,2,Single,1,No Complaint,14.0,0.0,1.0,2.0,125.0,Active,New (0-6 months),1
50053,1,0.0,Mobile Phone,Tier 1,8.0,Debit Card,Male,2.0,4,Mobile Phone,2,Single,2,No Complaint,22.0,0.0,1.0,0.0,111.02,Churned,New (0-6 months),1
50054,0,19.0,Mobile Phone,Tier 3,6.0,E wallet,Female,3.0,3,Fashion,5,Married,2,No Complaint,25.0,4.0,15.0,7.0,204.53,Active,Loyal (12+ months),0
50055,0,9.0,Phone,Tier 1,15.0,Debit Card,Female,3.0,3,Mobile,2,Single,2,No Complaint,12.0,1.0,2.0,1.0,122.88,Active,Mid (6-12 months),1
50056,0,4.0,Phone,Tier 1,18.0,Credit Card,Female,3.0,3,Mobile Phone,2,Divorced,9,Complained,23.0,1.0,1.0,2.0,139.29,Active,New (0-6 months),3
50057,0,9.0,Phone,Tier 1,33.0,CC,Female,3.0,3,Mobile,4,Single,3,No Complaint,15.0,1.0,1.0,2.0,123.11,Active,Mid (6-12 months),0
50058,1,4.0,Phone,Tier 3,26.0,E wallet,Female,3.0,3,Mobile,4,Single,2,Complained,22.0,0.0,1.0,2.0,131.4,Churned,New (0-6 months),2
50059,0,23.0,Phone,Tier 1,6.0,Credit Card,Male,2.0,4,Mobile Phone,3,Divorced,3,No Complaint,15.0,0.0,1.0,2.0,136.9,Active,Loyal (12+ months),0
50060,0,26.0,Phone,Tier 1,19.0,Credit Card,Female,2.0,2,Laptop & Accessory,5,Married,2,No Complaint,11.0,1.0,1.0,3.0,144.5,Active,Loyal (12+ months),0
50061,0,6.0,Phone,Tier 1,20.0,CC,Female,3.0,3,Mobile,4,Divorced,2,No Complaint,13.0,0.0,1.0,6.0,127.56,Active,New (0-6 months),0
50062,0,13.0,Mobile Phone,Tier 1,10.0,Credit Card,Female,2.0,3,Others,3,Divorced,2,No Complaint,14.0,1.0,9.0,9.0,290.33,Active,Loyal (12+ months),0
50063,0,28.0,Mobile Phone,Tier 1,20.0,Credit Card,Male,3.0,2,Others,4,Single,9,No Complaint,11.0,1.0,2.0,15.0,287.22,Active,Loyal (12+ months),0
50064,0,7.0,Computer,Tier 1,8.0,Debit Card,Male,2.0,4,Laptop & Accessory,3,Divorced,2,No Complaint,17.0,0.0,1.0,9.0,195.47,Active,Mid (6-12 months),0
50065,0,24.0,Mobile Phone,Tier 1,9.0,Credit Card,Female,3.0,3,Grocery,4,Single,4,No Complaint,18.0,0.0,2.0,0.0,237.34,Active,Loyal (12+ months),0
50066,0,25.0,Mobile Phone,Tier 1,6.0,Debit Card,Male,3.0,4,Others,3,Divorced,1,No Complaint,15.0,1.0,11.0,9.0,299.99,Active,Loyal (12+ months),0
50067,0,9.0,Phone,Tier 1,15.0,CC,Female,2.0,3,Mobile,4,Single,2,No Complaint,16.0,1.0,1.0,3.0,122.79,Active,Mid (6-12 months),0
50068,1,0.0,Mobile Phone,Tier 1,29.0,Debit Card,Male,2.0,4,Laptop & Accessory,3,Divorced,4,Complained,13.0,1.0,1.0,1.0,159.16,Churned,New (0-6 months),2
50069,0,9.0,Computer,Tier 1,13.0,CC,Male,2.0,2,Mobile,2,Married,5,No Complaint,14.0,0.0,2.0,2.0,120.89,Active,Mid (6-12 months),1
50070,0,18.0,Computer,Tier 1,8.0,Credit Card,Male,3.0,4,Grocery,2,Divorced,10,No Complaint,23.0,1.0,11.0,8.0,267.92,Active,Loyal (12+ months),1
50071,0,10.0,Phone,Tier 1,27.0,Debit Card,Male,3.0,2,Mobile Phone,5,Divorced,2,Complained,12.0,0.0,1.0,7.0,135.64,Active,Mid (6-12 months),2
50072,0,8.0,Computer,Tier 1,8.0,Credit Card,Female,2.0,3,Laptop & Accessory,4,Single,6,No Complaint,11.0,1.0,1.0,2.0,144.25,Active,Mid (6-12 months),0
50073,0,15.0,Computer,Tier 1,27.0,Credit Card,Female,2.0,3,Laptop & Accessory,3,Married,3,No Complaint,16.0,0.0,1.0,2.0,152.65,Active,Loyal (12+ months),0
50074,0,11.0,Mobile Phone,Tier 1,8.0,Debit Card,Male,2.0,3,Laptop & Accessory,3,Divorced,10,No Complaint,14.0,0.0,1.0,0.0,165.53,Active,Mid (6-12 months),0
50075,0,11.0,Mobile Phone,Tier 1,35.0,COD,Male,2.0,3,Laptop & Accessory,2,Divorced,4,No Complaint,18.0,0.0,1.0,7.0,162.61,Active,Mid (6-12 months),1
50076,0,0.0,Computer,Tier 1,6.0,COD,Male,2.0,4,Laptop & Accessory,5,Divorced,6,No Complaint,19.0,0.0,2.0,0.0,142.98,Active,New (0-6 months),0
50077,0,22.0,Computer,Tier 1,24.0,Debit Card,Male,3.0,3,Laptop & Accessory,2,Married,2,Complained,15.0,0.0,1.0,7.0,168.04,Active,Loyal (12+ months),3
50078,0,7.0,Computer,Tier 1,16.0,Credit Card,Male,2.0,3,Mobile Phone,3,Married,2,Complained,17.0,2.0,2.0,0.0,138.15,Active,Mid (6-12 months),2
50079,0,13.0,Phone,Tier 1,25.0,CC,Male,3.0,3,Laptop & Accessory,2,Divorced,9,Complained,15.0,1.0,3.0,7.0,127.41,Active,Loyal (12+ months),3
50080,1,1.0,Mobile Phone,Tier 1,35.0,Credit Card,Male,3.0,3,Laptop & Accessory,5,Divorced,8,Complained,19.0,0.0,1.0,0.0,166.73,Churned,New (0-6 months),2
50081,1,0.0,Mobile Phone,Tier 3,33.0,E wallet,Female,2.0,3,Fashion,2,Divorced,2,No Complaint,22.0,1.0,1.0,9.0,176.39,Churned,New (0-6 months),1
50082,0,0.0,Phone,Tier 1,14.0,Debit Card,Male,2.0,2,Mobile,4,Married,2,Complained,16.0,0.0,2.0,2.0,123.28,Active,New (0-6 months),2
50083,0,9.0,Computer,Tier 1,24.0,CC,Female,3.0,3,Mobile,2,Single,2,No Complaint,13.0,1.0,1.0,7.0,121.53,Active,Mid (6-12 months),1
50084,0,13.0,Computer,Tier 1,15.0,Debit Card,Male,3.0,4,Laptop & Accessory,2,Divorced,10,No Complaint,14.0,1.0,1.0,2.0,148.76,Active,Loyal (12+ months),1
50085,0,19.0,Mobile Phone,Tier 1,6.0,Credit Card,Male,3.0,3,Fashion,5,Married,8,No Complaint,16.0,0.0,1.0,3.0,193.96,Active,Loyal (12+ months),0
50086,1,0.0,Mobile Phone,Tier 3,10.0,Credit Card,Male,2.0,5,Fashion,2,Divorced,2,No Complaint,11.0,7.0,9.0,8.0,204.0,Churned,New (0-6 months),1
50087,0,3.0,Computer,Tier 1,6.0,Debit Card,Male,2.0,4,Fashion,3,Single,2,No Complaint,22.0,2.0,5.0,8.0,184.74,Active,New (0-6 months),0
50088,0,0.0,Computer,Tier 3,26.0,Debit Card,Female,2.0,3,Laptop & Accessory,3,Single,2,No Complaint,14.0,1.0,1.0,7.0,199.81,Active,New (0-6 months),0
50089,0,24.0,Mobile Phone,Tier 1,14.0,Debit Card,Male,2.0,4,Fashion,4,Divorced,6,No Complaint,16.0,1.0,4.0,3.0,224.9,Active,Loyal (12+ months),0
50090,1,0.0,Phone,Tier 1,14.0,COD,Female,2.0,3,Mobile,5,Single,6,Complained,11.0,1.0,1.0,4.0,126.57,Churned,New (0-6 months),2
50091,0,14.0,Mobile Phone,Tier 3,12.0,Debit Card,Female,3.0,3,Fashion,2,Single,4,Complained,18.0,0.0,2.0,0.0,235.91000000000005,Active,Loyal (12+ months),3
50092,1,0.0,Computer,Tier 3,32.0,E wallet,Female,2.0,4,Laptop & Accessory,5,Single,6,No Complaint,15.0,0.0,1.0,1.0,166.96,Churned,New (0-6 months),0
50093,1,9.0,Phone,Tier 1,6.0,Cash on Delivery,Male,2.0,3,Mobile,3,Single,1,No Complaint,14.0,0.0,1.0,5.0,120.58,Churned,Mid (6-12 months),0
50094,0,18.0,Computer,Tier 3,12.0,Credit Card,Female,2.0,4,Fashion,2,Single,7,No Complaint,12.0,12.0,12.0,8.0,188.65,Active,Loyal (12+ months),1
50095,0,27.0,Mobile Phone,Tier 3,9.0,E wallet,Female,2.0,3,Laptop & Accessory,5,Divorced,3,No Complaint,14.0,1.0,1.0,5.0,159.4,Active,Loyal (12+ months),0
50096,0,9.0,Mobile Phone,Tier 1,11.0,Debit Card,Male,3.0,3,Laptop & Accessory,4,Single,9,No Complaint,16.0,0.0,3.0,7.0,159.14,Active,Mid (6-12 months),0
50097,0,6.0,Phone,Tier 1,14.0,CC,Female,2.0,4,Mobile,4,Divorced,7,No Complaint,21.0,0.0,1.0,1.0,126.22,Active,New (0-6 months),0
50098,0,10.0,Computer,Tier 1,17.0,UPI,Male,2.0,3,Fashion,2,Married,2,Complained,14.0,0.0,1.0,3.0,221.85,Active,Mid (6-12 months),3
50099,0,11.0,Mobile Phone,Tier 3,9.0,Debit Card,Male,3.0,3,Fashion,3,Married,1,No Complaint,12.0,1.0,5.0,13.0,206.09,Active,Mid (6-12 months),0
50100,0,4.0,Computer,Tier 1,6.0,Credit Card,Male,2.0,5,Laptop & Accessory,3,Divorced,1,No Complaint,12.0,1.0,1.0,4.0,143.45,Active,New (0-6 months),0
50101,0,9.0,Phone,Tier 1,9.0,Debit Card,Male,3.0,4,Mobile,2,Divorced,4,No Complaint,17.0,0.0,1.0,0.0,121.77,Active,Mid (6-12 months),1
50102,0,10.0,Computer,Tier 3,10.0,E wallet,Male,2.0,3,Mobile Phone,2,Married,5,No Complaint,17.0,1.0,5.0,8.0,0.0,Active,Mid (6-12 months),1
50103,0,2.0,Computer,Tier 3,6.0,Credit Card,Female,2.0,3,Fashion,2,Divorced,2,No Complaint,14.0,4.0,4.0,1.0,179.18,Active,New (0-6 months),1
50104,0,8.0,Computer,Tier 3,6.0,E wallet,Female,3.0,3,Fashion,3,Single,2,No Complaint,14.0,1.0,1.0,8.0,187.89,Active,Mid (6-12 months),0
50105,1,0.0,Phone,Tier 1,14.0,CC,Male,2.0,4,Mobile,2,Single,2,Complained,13.0,0.0,1.0,1.0,123.89,Churned,New (0-6 months),3
50106,0,25.0,Phone,Tier 1,8.0,Debit Card,Female,2.0,4,Mobile,2,Single,8,No Complaint,15.0,0.0,2.0,2.0,132.12,Active,Loyal (12+ months),1
50107,0,15.0,Mobile Phone,Tier 1,10.0,Cash on Delivery,Male,2.0,3,Others,2,Divorced,2,No Complaint,15.0,0.0,11.0,15.0,292.32,Active,Loyal (12+ months),1
50108,0,9.0,Phone,Tier 2,12.0,CC,Male,2.0,3,Mobile,3,Divorced,9,No Complaint,17.0,2.0,2.0,2.0,122.67,Active,Mid (6-12 months),0
50109,0,23.0,Mobile Phone,Tier 3,6.0,Credit Card,Female,3.0,3,Others,2,Married,4,No Complaint,15.0,1.0,1.0,6.0,295.17,Active,Loyal (12+ months),1
50110,1,0.0,Phone,Tier 1,14.0,CC,Male,2.0,3,Mobile,2,Divorced,6,Complained,13.0,0.0,1.0,4.0,124.36,Churned,New (0-6 months),3
50111,0,16.0,Mobile Phone,Tier 3,22.0,E wallet,Female,3.0,3,Grocery,2,Divorced,6,Complained,22.0,0.0,2.0,9.0,260.64,Active,Loyal (12+ months),3
50112,1,0.0,Phone,Tier 1,8.0,Debit Card,Female,3.0,3,Mobile,5,Divorced,8,No Complaint,20.0,1.0,1.0,7.0,127.07,Churned,New (0-6 months),0
50113,0,25.0,Computer,Tier 3,8.0,Debit Card,Male,3.0,4,Others,3,Single,2,Complained,18.0,1.0,15.0,12.0,290.68,Active,Loyal (12+ months),2
50114,0,5.0,Phone,Tier 3,10.0,Debit Card,Female,2.0,3,Mobile Phone,4,Divorced,3,No Complaint,11.0,1.0,1.0,2.0,139.31,Active,New (0-6 months),0
50115,1,0.0,Phone,Tier 1,6.0,Debit Card,Male,3.0,4,Mobile Phone,3,Single,1,Complained,14.0,1.0,1.0,2.0,137.3,Churned,New (0-6 months),2
50116,0,9.0,Phone,Tier 1,6.0,CC,Female,3.0,3,Mobile,3,Married,8,No Complaint,14.0,0.0,1.0,2.0,122.32,Active,Mid (6-12 months),0
50117,0,5.0,Computer,Tier 3,32.0,E wallet,Male,3.0,3,Laptop & Accessory,2,Divorced,1,No Complaint,18.0,1.0,2.0,2.0,144.65,Active,New (0-6 months),1
50118,0,14.0,Phone,Tier 1,25.0,Debit Card,Male,3.0,3,Laptop & Accessory,5,Married,3,No Complaint,16.0,1.0,1.0,0.0,130.72,Active,Loyal (12+ months),0
50119,0,13.0,Phone,Tier 1,30.0,COD,Male,3.0,3,Laptop & Accessory,2,Married,2,No Complaint,17.0,2.0,4.0,7.0,133.19,Active,Loyal (12+ months),1
50120,0,18.0,Mobile Phone,Tier 1,6.0,UPI,Male,3.0,2,Others,2,Divorced,1,No Complaint,15.0,1.0,1.0,7.0,292.02,Active,Loyal (12+ months),1
50121,0,4.0,Computer,Tier 1,9.0,Credit Card,Male,3.0,3,Fashion,3,Married,10,No Complaint,12.0,1.0,2.0,2.0,236.75,Active,New (0-6 months),0
50122,0,6.0,Phone,Tier 1,11.0,Debit Card,Female,3.0,4,Mobile,2,Divorced,2,No Complaint,13.0,0.0,1.0,2.0,129.11,Active,New (0-6 months),1
50123,0,7.0,Mobile Phone,Tier 1,8.0,Debit Card,Male,2.0,4,Laptop & Accessory,5,Divorced,7,No Complaint,13.0,0.0,5.0,9.0,159.57,Active,Mid (6-12 months),0
50124,0,10.0,Phone,Tier 1,6.0,Credit Card,Female,2.0,4,Mobile Phone,5,Divorced,3,No Complaint,14.0,1.0,1.0,2.0,139.2,Active,Mid (6-12 months),0
50125,0,18.0,Computer,Tier 1,13.0,Debit Card,Male,3.0,2,Laptop & Accessory,3,Divorced,5,No Complaint,17.0,0.0,1.0,2.0,164.34,Active,Loyal (12+ months),0
50126,1,0.0,Computer,Tier 1,16.0,Credit Card,Male,3.0,3,Fashion,3,Married,7,No Complaint,11.0,1.0,1.0,0.0,200.48,Churned,New (0-6 months),0
50127,0,12.0,Computer,Tier 1,8.0,Cash on Delivery,Female,3.0,3,Fashion,3,Single,1,No Complaint,25.0,10.0,11.0,3.0,209.38,Active,Mid (6-12 months),0
50128,0,2.0,Phone,Tier 1,14.0,Debit Card,Male,2.0,3,Mobile,2,Single,2,No Complaint,19.0,0.0,1.0,5.0,123.4,Active,New (0-6 months),1
50129,0,15.0,Mobile Phone,Tier 1,23.0,Debit Card,Female,2.0,2,Laptop & Accessory,5,Single,4,Complained,13.0,0.0,1.0,2.0,165.45,Active,Loyal (12+ months),2
50130,0,2.0,Mobile Phone,Tier 3,26.0,E wallet,Male,2.0,3,Laptop & Accessory,2,Married,3,No Complaint,14.0,1.0,1.0,2.0,169.31,Active,New (0-6 months),1
50131,0,0.0,Phone,Tier 1,6.0,Debit Card,Female,3.0,3,Laptop & Accessory,3,Divorced,1,No Complaint,12.0,1.0,1.0,2.0,148.98,Active,New (0-6 months),0
50132,0,15.0,Phone,Tier 1,14.0,CC,Female,2.0,4,Mobile,5,Married,1,Complained,11.0,4.0,7.0,8.0,125.93,Active,Loyal (12+ months),2
50133,0,13.0,Mobile Phone,Tier 1,8.0,Credit Card,Male,2.0,3,Others,3,Married,1,No Complaint,15.0,0.0,3.0,9.0,294.36,Active,Loyal (12+ months),0
50134,0,24.0,Phone,Tier 1,6.0,Debit Card,Male,3.0,3,Mobile,2,Divorced,2,No Complaint,11.0,1.0,1.0,0.0,127.23,Active,Loyal (12+ months),1
50135,1,0.0,Computer,Tier 1,35.0,CC,Male,3.0,4,Mobile,4,Single,1,No Complaint,11.0,1.0,1.0,4.0,134.79,Churned,New (0-6 months),0
50136,0,5.0,Computer,Tier 1,13.0,Debit Card,Male,3.0,2,Mobile,4,Divorced,2,No Complaint,20.0,0.0,1.0,3.0,127.94,Active,New (0-6 months),0
50137,0,11.0,Computer,Tier 3,8.0,Debit Card,Male,2.0,4,Laptop & Accessory,2,Divorced,4,No Complaint,18.0,6.0,7.0,5.0,152.49,Active,Mid (6-12 months),1
50138,0,9.0,Phone,Tier 1,8.0,Cash on Delivery,Male,2.0,4,Laptop & Accessory,5,Single,5,No Complaint,13.0,0.0,1.0,4.0,121.76,Active,Mid (6-12 months),0
50139,0,19.0,Mobile Phone,Tier 3,8.0,Cash on Delivery,Female,3.0,5,Grocery,4,Divorced,4,Complained,12.0,1.0,7.0,7.0,268.72,Active,Loyal (12+ months),2
50140,1,0.0,Phone,Tier 1,8.0,Debit Card,Male,3.0,3,Mobile,3,Single,3,No Complaint,11.0,1.0,1.0,0.0,134.85,Churned,New (0-6 months),0
50141,0,2.0,Mobile Phone,Tier 3,8.0,Credit Card,Male,3.0,4,Laptop & Accessory,4,Divorced,3,No Complaint,19.0,0.0,1.0,0.0,166.44,Active,New (0-6 months),0
50142,0,4.0,Mobile Phone,Tier 1,29.0,Credit Card,Male,3.0,4,Laptop & Accessory,2,Divorced,1,No Complaint,21.0,1.0,7.0,8.0,155.82,Active,New (0-6 months),1
50143,0,0.0,Computer,Tier 1,11.0,Debit Card,Male,2.0,2,Laptop & Accessory,5,Married,2,No Complaint,12.0,1.0,1.0,5.0,140.0,Active,New (0-6 months),0
50144,0,18.0,Mobile Phone,Tier 1,26.0,Credit Card,Male,3.0,3,Grocery,2,Divorced,1,Complained,14.0,0.0,2.0,10.0,234.96,Active,Loyal (12+ months),3
50145,0,9.0,Phone,Tier 1,12.0,Debit Card,Male,2.0,3,Mobile,2,Divorced,1,No Complaint,11.0,4.0,10.0,11.0,132.1,Active,Mid (6-12 months),1
50146,0,28.0,Mobile Phone,Tier 1,6.0,Credit Card,Male,2.0,3,Others,5,Single,1,Complained,14.0,1.0,4.0,13.0,290.45,Active,Loyal (12+ months),2
